Guid,Element_Id,Type,Level,Date,Time,Version,Model
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000138d7,80110,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-0001394e,80213,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-0001395c,80223,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-0001396b,80235,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013978,80248,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-0001399e,80286,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000139b1,80305,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000139c0,80320,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000139cf,80335,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000139de,80350,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-000139ed,80365,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013a0b,80395,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013a1a,80410,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013a29,80425,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013a38,80440,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013a46,80454,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013a55,80469,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
22b32516-a47c-4c37-92c1-a5cfe3e08cdc-00013a66,80486,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
c483e036-8ade-4d31-919e-94ba2fb2a843-0001430b,82699,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
c483e036-8ade-4d31-919e-94ba2fb2a843-0001447a,83066,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
c483e036-8ade-4d31-919e-94ba2fb2a843-0001448c,83084,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
c483e036-8ade-4d31-919e-94ba2fb2a843-0001449b,83099,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
c483e036-8ade-4d31-919e-94ba2fb2a843-000144b6,83126,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
c483e036-8ade-4d31-919e-94ba2fb2a843-000144c5,83141,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
c483e036-8ade-4d31-919e-94ba2fb2a843-000144d6,83158,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
c483e036-8ade-4d31-919e-94ba2fb2a843-000144e4,83172,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
c483e036-8ade-4d31-919e-94ba2fb2a843-000144f7,83191,Floor,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
